Ticker,RetrievedAt,DataType,SourceMode,ParserLog,ROE,ROA,NIM,NPL,CAR,CIR,LDR,CASA,EPS,BVPS,PB,PE,TotalAssets,GrossLoans,CustomerDeposits,Equity,IntangibleAssets,NPAT,NetInterestIncome,OperatingIncome,ProvisionExpense,TangibleEquity,CAR_AsOf,ROE_AsOf,CASA_AsOf,ROA_AsOf,NIM_AsOf,NPL_AsOf,CIR_AsOf,LDR_AsOf,Price
MBB,2026-09-07T08:40:47+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,API_ERROR:NotImplementedError: isna is not defined for MultiIndex || RETRY:NotImplementedError: isna is not defined for MultiIndex || RAW_CACHE:OK,0.2068574322,0.0191319925,0.0389543319,0.0144980955,0.111,0.275387713,1.2736407115,0.3461029393,3.2283278550266217,15.63173032397594,1.3146337337,6.3655244829,1733012662000000.0,1210891596000000.0,963815357000000.0,156762644000000.0,,8445473000000.0,16893654000000.0,20434314000000.0,,156762644000000.0,2024-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,20.55
MSB,2026-09-07T08:41:36+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,API_ERROR:NotImplementedError: isna is not defined for MultiIndex || RETRY:NotImplementedError: isna is not defined for MultiIndex || RAW_CACHE:OK,0.1368022698,0.0145684537,0.0316796336,0.0252846153,0.1228,0.3902061209,1.1257897306,0.2310015999,1.5732510683806442,12.085071848499082,1.0881193066,8.3584878881,440998586000000.0,227417123000000.0,204674379000000.0,45246509000000.0,,1250603000000.0,3001236000000.0,3394998000000.0,,45246509000000.0,2025-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,13.15
NAB,2026-09-07T08:42:22+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,API_ERROR:NotImplementedError: isna is not defined for MultiIndex || RETRY:NotImplementedError: isna is not defined for MultiIndex || RAW_CACHE:OK,0.1949572196,0.0113326646,0.02188875,0.0147263746,0.1096,0.4165973898,1.0934269314,0.0544295407,2.2592267147351173,12.457020304554934,0.9271880207,5.1123687254,451517264000000.0,216588702000000.0,200095644000000.0,25892493000000.0,,1209825000000.0,2227412000000.0,2836446000000.0,,25892493000000.0,2025-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,11.55
NVB,2026-09-07T08:43:13+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,API_ERROR:NotImplementedError: isna is not defined for MultiIndex || RETRY:NotImplementedError: isna is not defined for MultiIndex || RAW_CACHE:OK,0.0218341666,0.0015333987,0.0177669804,0.0643470084,,0.4618344651,0.9236264756,0.0875716292,0.1405514419419656,8.315448492486711,1.4551229571,86.0894760866,198896148000000.0,131904880000000.0,144567677000000.0,14319633000000.0,,510664000000.0,1033636000000.0,1132003000000.0,,14319633000000.0,,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,12.1
OCB,2026-09-07T08:44:00+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,API_ERROR:NotImplementedError: isna is not defined for MultiIndex || RETRY:NotImplementedError: isna is not defined for MultiIndex || RAW_CACHE:OK,0.1297297527,0.0133522715,0.0303957638,0.0348645027,0.1372,0.3288866778,1.3797867928,0.110989482,1.4588542047790671,11.696904641228608,0.9019480216,7.2317027743,351741185154313.0,215783068010916.0,159695164166116.0,35821888904798.0,,972933237073.0,2525326480196.0,3205362002175.0,,35821888904798.0,2024-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,10.55
PCB,2026-09-07T08:59:02+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,API_ERROR:NotImplementedError: isna is not defined for MultiIndex || RETRY:NotImplementedError: isna is not defined for MultiIndex || RAW_CACHE:OK,,,,,,,,,,,,,278431133000000.0,160111318000000.0,200097684000000.0,13250858000000.0,,339451000000.0,1535459000000.0,1635651000000.0,,13250858000000.0,,,,,,,,,8.7
PGB,2026-09-07T08:45:30+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,API_ERROR:NotImplementedError: isna is not defined for MultiIndex || RETRY:NotImplementedError: isna is not defined for MultiIndex || RAW_CACHE:OK,0.0966258936,0.008185439,0.0228773108,0.0293005155,0.1068,0.4800407528,0.9725071927,0.2090742,1.072322647295146,11.201411592188656,0.865962287,9.0457848899,89312480000000.0,47740104000000.0,49715876000000.0,8212376000000.0,,131191000000.0,521519000000.0,590879000000.0,,8212376000000.0,2025-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,9.7
SGB,2026-09-07T08:46:20+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,API_ERROR:NotImplementedError: isna is not defined for MultiIndex || RETRY:NotImplementedError: isna is not defined for MultiIndex || RAW_CACHE:OK,0.0047898377,0.0005751296,0.0189993623,0.0288564704,0.1625,0.8766069914,0.8809642748,0.0837153679,0.0561304955161445,11.685062709860537,1.0697417986,222.69534386,35669855000000.0,21976093000000.0,25205181000000.0,4233066000000.0,,-34309000000.0,160251000000.0,192207000000.0,,4233066000000.0,2025-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,12.5
SHB,2026-09-07T08:47:13+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,API_ERROR:NotImplementedError: isna is not defined for MultiIndex || RETRY:NotImplementedError: isna is not defined for MultiIndex || RAW_CACHE:OK,0.1729368059,0.0133522705,0.0214488085,0.0217936673,0.1261,0.1493356952,1.0566131403,0.0813572597,2.5679955096687754,15.967926095877427,0.7546377612,4.6923758062,962886783000000.0,648552733000000.0,624269133000000.0,75309442000000.0,,3602552000000.0,6760976000000.0,9770966000000.0,,75309442000000.0,2024-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,12.05
SSB,2026-09-07T08:48:03+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,API_ERROR:NotImplementedError: isna is not defined for MultiIndex || RETRY:NotImplementedError: isna is not defined for MultiIndex || RAW_CACHE:OK,0.0726722294,0.0074282467,0.0245832806,0.02246019,0.1327,0.4043895484,1.2707149215,0.1322652282,0.8703535448409313,12.279545375530146,1.4210623819,20.0493237529,427107510000000.0,250063019000000.0,199777344000000.0,42195287000000.0,,990923000000.0,2249952000000.0,2489231000000.0,,42195287000000.0,2025-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,17.45
STB,2026-09-07T08:49:01+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,API_ERROR:NotImplementedError: isna is not defined for MultiIndex || RETRY:NotImplementedError: isna is not defined for MultiIndex || RAW_CACHE:OK,0.0499063995,0.0035022109,0.0293063327,0.0754007947,0.0969,0.2839314996,0.9816181355,0.1672327342,1.6337207461204406,33.31568290433654,2.3202285909,47.3153078233,892048566000000.0,608851996000000.0,647939224000000.0,62807249000000.0,,1346691000000.0,6247243000000.0,9950076000000.0,,62807249000000.0,2025-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,77.3
TCB,2026-09-07T08:49:55+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,API_ERROR:NotImplementedError: isna is not defined for MultiIndex || RETRY:NotImplementedError: isna is not defined for MultiIndex || RAW_CACHE:OK,0.147648269,0.0226654319,0.0363342376,0.0108228503,0.1583,0.3092085877,1.2790980022,0.3502048667,3.829402615961767,25.283120036928967,1.2893978256,8.513077174,1273076923000000.0,835813283000000.0,662447730000000.0,188997150000000.0,,7726642000000.0,10763002000000.0,14941781000000.0,,188997150000000.0,2022-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,32.6
TPB,2026-09-07T08:50:44+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,API_ERROR:NotImplementedError: isna is not defined for MultiIndex || RETRY:NotImplementedError: isna is not defined for MultiIndex || RAW_CACHE:OK,0.165081313,0.0149146267,0.0289891823,0.0185673305,0.1372,0.3933194256,1.1721814197,0.2098033524,2.7232492338429224,16.51537846908411,0.8900795115,5.3979635126,547664403000000.0,333970520000000.0,288477683000000.0,49565884000000.0,,1891026000000.0,3634174000000.0,5195182000000.0,,49565884000000.0,2025-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,14.7
VAB,2026-09-07T08:51:32+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,API_ERROR:NotImplementedError: isna is not defined for MultiIndex || RETRY:NotImplementedError: isna is not defined for MultiIndex || RAW_CACHE:OK,0.1366972442,0.0099456654,0.0265369524,0.0122267812,0.0911,0.3746522165,0.9245972682,0.0543718893,1.5617831067385466,11.983085619253997,0.7627417754,5.8522850968,149129594741700.0,95021138285065.0,104044682695361.0,10809684415361.0,,251814976550.0,576941677107.0,661153988164.0,,10809684415361.0,2025-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,9.14
VBB,2026-09-07T08:52:24+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,API_ERROR:NotImplementedError: isna is not defined for MultiIndex || RETRY:NotImplementedError: isna is not defined for MultiIndex || RAW_CACHE:OK,0.1305693048,0.0079520791,0.0196146972,0.0186784914,,0.4218716455,1.1545489712,0.0772746155,1.4546829202532046,11.104317704915388,1.0266276869,7.8367593661,204824910000000.0,118400699000000.0,103892733000000.0,13154026000000.0,,619324000000.0,993583000000.0,1155176000000.0,,13154026000000.0,,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,11.4
VCB,2026-09-07T08:53:19+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,API_ERROR:NotImplementedError: isna is not defined for MultiIndex || RETRY:NotImplementedError: isna is not defined for MultiIndex || RAW_CACHE:OK,0.1791575023,0.0166114014,0.0274697447,0.0061066523,0.1201,0.3203920384,1.0169754447,0.3392956361,4.9844435669869664,29.728955974207597,1.9812333824,11.8167653437,2657440573000000.0,1728183370000000.0,1728820567000000.0,248490506000000.0,,14550959000000.0,19141761000000.0,26371601000000.0,,248490506000000.0,2025-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,58.9
VIB,2026-09-07T08:54:15+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,API_ERROR:NotImplementedError: isna is not defined for MultiIndex || RETRY:NotImplementedError: isna is not defined for MultiIndex || RAW_CACHE:OK,0.1568967032,0.0132200732,0.0304094941,0.0292555811,0.1181,0.3174164546,1.2508474112,0.1192673535,2.1797035633000643,14.053394170362775,1.0709156676,6.9046086144,580998048000000.0,392020433000000.0,317451548000000.0,47837834000000.0,,1905424000000.0,4367969000000.0,5367740000000.0,,47837834000000.0,2024-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,15.05
VPB,2026-09-07T08:55:10+07:00,ACTUAL_CACHED,VNSTOCK_BRONZE_RAW_CACHE,API_ERROR:NotImplementedError: isna is not defined for MultiIndex || RETRY:NotImplementedError: isna is not defined for MultiIndex || RAW_CACHE:OK,0.1661884394,0.0224475803,0.0524073241,0.0327941385,0.1381,0.1964806639,1.3800971531,0.1275303476,3.758028625335888,22.47556101661994,1.2368990469,7.3974955413,1502526376000000.0,1140006659000000.0,732887440000000.0,191215344000000.0,,8775909000000.0,17973498000000.0,23483634000000.0,,191215344000000.0,2025-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2026-Q2,2025-Q2,27.8
